id,question_id,question_field,option_order,option_name,option_label,option_label_es,option_text,option_text_es,option_value,option_datatype,option_textdata_size,option_textdata_type,option_label_link,option_help_bubble,option_help_bubble_es,option_help_parenting,option_help_parenting_es,option_help_legal,option_help_legal_es,option_help_code,option_help_code_es,option_label_pt,option_text_pt,option_show_label
6824,1656,dup_reviewGroup,13,other,other:,,,,other,,10,text,,,,,,,,,,,,
6825,1656,dup_reviewGroup,11,our clergy,our clergy,,,,our clergy,,0,,,,,,,,,,,,,
6826,1656,dup_reviewGroup,12,attorney,attorney,,,,attorney,,0,,,,,,,,,,,,,
6827,1656,dup_reviewGroup,10,our spiritual leader,our spiritual leader,,,,our spiritual leader,,0,,,,,,,,,,,,,
6828,1656,dup_reviewGroup,7,a trusted friend,a trusted friend,,,,a trusted friend,,0,,,,,,,,,,,,,
8611,2207,dup_AddressState,25,MO,,,,,,,0,,,,,,,,,,,,,
1416,654,lessonsType,5,horseback riding,horseback riding,,,,horseback riding,,0,,,,,,,,,,,,,
2902,1145,dup_1lateNotice,3,20,20,,,,20,,,,,,,,,,,,,,,
3059,1187,agreement,1,yes,yes,,,,yes,,,,,,,,,,,,,,,
6438,239,OccasionChoice,1,RegularSchedule,Regular Schedule,Regular Schedule,,,RegularSchedule,,0,,,,,,,,,,,,,
3317,406,disabilityDivorceCause,15,P2ResentsTheAttentionGivenToChildren,[[field Parent_FirstName(2)]] resents the attention given to [[field Custody_AgreementName]],,,,P2ResentsTheAttentionGivenToChildren,,0,text,,,,,,,,,,,,
9432,2303,dup_jurisdictionCounty,2,under three months,under three months,,,,under three months,,0,,,,,,,,,,,,,
7317,583,smoking,3,never,never,,,,never,,0,text,,,,,,,,,,,,
6836,1664,dup_DecideChildCareMother,3,fieldParentFirstName1,[[field Parent_FirstName(1)]],,,,fieldParentFirstName1,,0,,,,,,,,,,,,,
6837,1664,dup_DecideChildCareMother,4,fieldParentFirstName2,[[field Parent_FirstName(2)]],,,,fieldParentFirstName2,,0,,,,,,,,,,,,,
6838,1664,dup_DecideChildCareMother,2,bothParents,both parents,,,,bothParents,,0,,,,,,,,,,,,,
6839,1665,dup_DecideChildCareFather,3,fieldParentFirstName1,[[field Parent_FirstName(1)]],,,,fieldParentFirstName1,,0,,,,,,,,,,,,,
6840,1665,dup_DecideChildCareFather,4,fieldParentFirstName2,[[field Parent_FirstName(2)]],,,,fieldParentFirstName2,,0,,,,,,,,,,,,,
6841,1665,dup_DecideChildCareFather,2,bothParents,both parents,,,,bothParents,,0,,,,,,,,,,,,,
6842,1595,ERMedicalCondition,0,doesNotHave,does not have,,,,doesNotHave,,0,text,,,,,,,,,,,,
6843,1595,ERMedicalCondition,1,doesHave,does have,,,,doesHave,,0,text,,,,,,,,,,,,
9579,1503,disabilityParentTwo,1,aDisability,a disability,,,,aDisability,,15,text,,,,,,,,,,,,
10179,2440,dup_Nationality,74,Ghana,,,,,,,0,,,,,,,,,,,,,
6511,1576,July4thYears,1,EveryYear,Every Year,Every Year,,,Every Year,,,,,,,,,,,,,,,
6512,1576,July4thYears,2,EvenYears,Even Years,Even Years,,,Even Years,,,,,,,,,,,,,,,
4539,263,AddressState,24,MS,,,,,,,,,,,,,,,,,,,,
740,477,movingOutOfStateChild,2,no,no,no,,,no,,,,,,,,,,,,,,,
891,572,test,2,tt,tt,,,,tt,,,,,,,,,,,,,,,
6319,1538,CcType,0,visa,Visa,,,,,,0,text,,,,,,,,,,,,
10180,2440,dup_Nationality,75,Greece,,,,,,,0,,,,,,,,,,,,,
6962,1722,dup_driving,2,withAPermitOrLicense,with a permit or license,,,,withAPermitOrLicense,,0,text,,,,,,,,,,,,
1833,796,dup_teacherChildRatio,4,4,4,,,,4,,,,,,,,,,,,,,,
2429,961,poison,1,yes,,,,,,,,,,,,,,,,,,,,
9931,2389,dup_numberOfPets,5,6,6,,,,6,,0,text,,,,,,,,,,,,
2600,998,handWashingFrequency,4,before meals,,,,,,,,,,,,,,,,,,,,
3248,943,choreListOutside,10,pick fruit,,,,,,,,,,,,,,,,,,,,
9932,2389,dup_numberOfPets,0,1,1,,,,1,,0,text,,,,,,,,,,,,
4239,28,Nationality,162,Russian Federation,,,,,,,,,,,,,,,,,,,,
4149,28,Nationality,72,Georgia,,,,,,,,,,,,,,,,,,,,
4116,28,Nationality,39,Chad,,,,,,,,,,,,,,,,,,,,
7461,1776,dup_parentArgueChildren,0,always,always,,,,always,,0,,,,,,,,,,,,,
3823,115,EduHighestGrade,11,GraduateSchool,Graduate School,,,,GraduateSchool,,0,,,,,,,,,,,,,
3552,150,HealthInsuranceBy,7,fieldParentFirstName2Pays,[[field Parent_FirstName(2)]] pays,,,,fieldParentFirstName2Pays,,0,,,,,,,,,,,,,
6668,239,OccasionChoice,3,Parent2,Vparent2Name,,,,Parent2,,0,,,,,,,,,,,,,
6667,239,OccasionChoice,2,Parent1,Vparent1Name,,,,Parent1,,0,,,,,,,,,,,,,
7462,1776,dup_parentArgueChildren,2,sometimes,sometimes,,,,sometimes,,0,,,,,,,,,,,,,
8612,2207,dup_AddressState,26,MT,,,,,,,0,,,,,,,,,,,,,
914,152,MentalDiagnosis,16,Tic Disorder,Tic Disorder,,,,Tic Disorder,,,,,,,,,,,,,,,
7316,583,smoking,2,whenReachingAge,when reaching age ,,,,whenReachingAge,,2,text,,,,,,,,,,,,
7463,1776,dup_parentArgueChildren,4,never,never,,,,never,,0,,,,,,,,,,,,,
7552,1788,dup_clientTimeliness,1,always,always,,,,always,,0,,,,,,,,,,,,,
4024,643,religiousWorship,24,Deist ,,,,,,,,,,,,,,,,,,,,
7464,1776,dup_parentArgueChildren,1,mostly,mostly,,,,mostly,,0,,,,,,,,,,,,,
7465,1776,dup_parentArgueChildren,3,rarely,rarely,,,,rarely,,0,,,,,,,,,,,,,
7466,1777,dup_parentArgueChildren,0,always,always,,,,always,,0,,,,,,,,,,,,,
7467,1777,dup_parentArgueChildren,2,sometimes,sometimes,,,,sometimes,,0,,,,,,,,,,,,,
7468,1777,dup_parentArgueChildren,4,never,never,,,,never,,0,,,,,,,,,,,,,
6695,1611,dup_methodP1,2,inPerson,in person,,,,inPerson,,1,text,,,,,,,,,,,,
6691,1611,dup_methodP1,3,phone,phone,,,,phone,,1,text,,,,,,,,,,,,
6692,1611,dup_methodP1,4,email,email,,,,email,,1,text,,,,,,,,,,,,
6693,1611,dup_methodP1,5,fax,fax,,,,fax,,1,text,,,,,,,,,,,,
6694,1611,dup_methodP1,6,letter,letter,,,,letter,,1,text,,,,,,,,,,,,
10181,2440,dup_Nationality,76,Greenland,,,,,,,0,,,,,,,,,,,,,
10182,2440,dup_Nationality,77,Grenada,,,,,,,0,,,,,,,,,,,,,
6704,1612,messengerP1,0,never,never,,,,never,,0,text,,,,,,,,,,,,
6705,1612,messengerP1,1,rarely,rarely,,,,rarely,,0,text,,,,,,,,,,,,
6706,1612,messengerP1,2,sometimes,sometimes,,,,sometimes,,0,text,,,,,,,,,,,,
6707,1612,messengerP1,3,mostly,mostly,,,,mostly,,0,text,,,,,,,,,,,,
6708,1612,messengerP1,4,always,always,,,,always,,0,text,,,,,,,,,,,,
6709,1613,messengerP2,0,never,never,,,,never,,0,text,,,,,,,,,,,,
6710,1613,messengerP2,1,rarely,rarely,,,,rarely,,0,text,,,,,,,,,,,,
6711,1613,messengerP2,2,sometimes,sometimes,,,,sometimes,,0,text,,,,,,,,,,,,
6712,1613,messengerP2,3,mostly,mostly,,,,mostly,,0,text,,,,,,,,,,,,
6713,1613,messengerP2,4,always,always,,,,always,,0,text,,,,,,,,,,,,
6879,1708,dup_jurisdictionCounty,1,overThree3Months,over three (3) months,,,,overThree3Months,,0,text,,,,,,,,,,,,
9788,2356,tobaccoUseP2,0,willAgree,will agree,,,,willAgree,,0,text,,,,,,,,,,,,
6878,1708,dup_jurisdictionCounty,2,underThree3Months,under three (3) months,,,,underThree3Months,,0,text,,,,,,,,,,,,
9933,2389,dup_numberOfPets,1,2,2,,,,2,,0,text,,,,,,,,,,,,
6882,1710,dup_jurisdictionState,1,overSix6Months,over six (6) months,,,,overSix6Months,,0,text,,,,,,,,,,,,
9934,2389,dup_numberOfPets,2,3,3,,,,3,,0,text,,,,,,,,,,,,
6883,1710,dup_jurisdictionState,2,underSix6Months,under six (6) months,,,,underSix6Months,,0,text,,,,,,,,,,,,
9789,2356,tobaccoUseP2,1,willNotAgree,will not agree,,,,willNotAgree,,0,text,,,,,,,,,,,,
9935,2389,dup_numberOfPets,3,4,4,,,,4,,0,text,,,,,,,,,,,,
10183,2440,dup_Nationality,78,Guadeloupe,,,,,,,0,,,,,,,,,,,,,
6963,1722,dup_driving,3,withAParentInAVacantPlace,with a parent in a vacant place,,,,withAParentInAVacantPlace,,0,text,,,,,,,,,,,,
9583,1021,CO2Alarm,0,have,have,,,,have,,0,,,,,,,,,,,,,
7197,1723,motorcycles,7,rideOnlyWithPreApprovedDrivers,ride only with pre-approved drivers,,,,rideOnlyWithPreApprovedDrivers,,0,text,,,,,,,,,,,,
